resp_id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,OUTCOME
85,5,NA,3,2,3,NA,0,0,0,0,0,0,5,4,5,4,5,5,NA,2,2,5,5,5
86,6,6,5,5,5,NA,3,1,1,3,4,4,5,5,NA,5,5,6,NA,10,8,6,5,6
87,2,0,0,0,0,NA,1,NA,0,0,NA,0,5,4,5,5,5,5,6,6,5,4,4,4
88,5,4,NA,4,5,4,NA,2,3,3,3,4,10,9,NA,9,7,10,8,8,8,6,7,6
89,NA,5,NA,7,6,6,7,6,8,5,5,4,0,4,2,2,NA,2,6,5,5,3,5,5
90,5,6,5,6,5,5,2,4,4,NA,5,5,6,5,6,5,5,5,5,NA,4,NA,4,7
91,2,NA,5,4,5,NA,5,7,9,7,5,7,5,4,NA,5,8,6,8,9,7,7,4,5
92,8,NA,8,5,6,6,5,5,2,6,5,5,5,5,5,NA,9,7,7,8,8,5,NA,5
93,6,5,6,NA,6,8,7,8,6,5,6,5,5,4,5,4,5,4,2,3,NA,NA,0,3
94,5,6,5,4,4,3,2,4,NA,4,5,6,6,5,6,7,5,7,NA,7,6,NA,6,5
95,3,3,2,2,6,4,4,5,NA,2,NA,NA,1,5,5,5,4,5,6,8,5,5,5,5
96,3,2,4,4,5,5,3,2,1,NA,2,0,0,0,NA,4,3,3,5,5,NA,4,5,5
97,5,4,6,10,9,9,NA,8,7,9,6,5,2,NA,0,3,3,1,0,NA,0,0,0,0
98,7,5,5,6,NA,NA,4,NA,2,5,3,3,8,7,7,8,7,6,6,5,7,5,4,5
99,3,5,4,7,6,5,2,4,NA,4,5,NA,4,NA,5,4,5,3,4,5,4,5,5,5
100,4,5,5,5,NA,6,6,5,5,6,8,NA,5,NA,6,10,8,7,7,9,9,8,7,6
101,5,NA,4,4,5,3,2,1,0,NA,2,2,6,5,6,5,5,5,7,8,7,5,NA,6
102,8,NA,9,10,8,10,5,6,NA,5,6,4,5,5,6,6,NA,5,5,8,8,5,4,5
103,4,6,5,5,2,3,5,5,5,3,5,4,6,NA,6,7,5,6,8,8,NA,NA,6,7
104,8,7,7,6,5,7,7,4,NA,5,4,4,4,NA,5,5,5,5,6,6,NA,6,5,5
105,5,4,NA,5,5,6,6,7,6,3,3,NA,5,5,NA,5,4,5,3,4,4,5,7,6
106,5,5,5,4,5,5,6,6,6,8,7,NA,4,3,5,2,NA,5,8,10,NA,7,8,6
107,5,5,5,5,5,7,NA,5,6,5,5,5,NA,7,7,8,NA,8,5,4,5,7,5,7
108,4,6,5,6,5,6,5,5,5,NA,7,6,7,6,NA,6,5,5,7,NA,8,7,8,8
109,5,7,7,4,5,5,NA,7,6,7,6,7,NA,6,5,5,NA,4,2,2,2,4,4,5
110,5,5,4,NA,5,5,5,4,0,NA,7,4,6,8,NA,8,9,6,5,6,8,7,6,6
111,5,NA,5,NA,5,5,4,5,4,1,1,0,2,NA,1,3,2,1,4,1,4,4,3,5
112,4,4,5,NA,4,5,6,5,NA,5,5,4,8,NA,6,6,5,5,4,5,4,5,5,6
113,7,5,6,5,5,5,7,6,7,4,5,5,5,NA,5,0,2,0,NA,0,NA,3,3,4
114,1,4,3,6,5,5,4,5,4,5,6,NA,5,3,NA,NA,3,0,5,4,5,3,5,5
115,5,6,4,5,7,5,1,3,1,3,3,3,8,9,8,10,NA,9,NA,NA,10,6,8,7
116,5,7,8,5,9,7,NA,NA,NA,7,6,8,1,3,1,0,1,3,2,2,1,3,2,2
117,7,7,6,3,5,NA,NA,5,5,3,5,3,5,7,5,6,7,6,5,5,5,2,NA,3
118,4,5,5,NA,5,NA,5,5,6,5,3,4,3,2,1,NA,2,4,2,1,1,3,4,2
119,NA,0,0,0,0,0,3,5,NA,4,2,5,5,5,4,2,4,4,4,5,4,NA,2,4
120,2,2,1,NA,2,0,1,3,3,2,1,NA,5,4,4,3,3,3,5,NA,5,5,5,6
121,7,6,7,8,7,NA,7,6,5,4,5,6,7,5,6,NA,5,4,10,9,6,NA,5,4
122,6,5,NA,5,5,4,5,5,5,7,7,5,NA,NA,2,3,3,5,2,1,3,0,0,0
123,5,4,3,6,6,6,6,NA,5,6,5,4,6,7,5,5,NA,3,4,NA,5,2,5,4
124,6,5,5,3,3,2,2,4,3,5,NA,6,6,NA,6,4,5,7,NA,5,4,4,3,5
125,NA,7,5,5,6,4,6,8,8,8,9,8,NA,9,10,9,8,8,NA,6,5,5,4,5
126,10,8,9,7,10,6,5,NA,5,5,5,6,4,3,5,6,8,8,NA,8,7,NA,9,9
127,NA,5,5,3,3,4,2,5,1,NA,5,4,5,5,1,3,4,4,4,5,NA,4,4,7
128,NA,6,5,6,6,6,NA,5,6,5,5,6,6,5,5,9,9,7,5,5,7,NA,5,5
129,3,1,3,2,1,1,5,5,3,NA,5,5,4,1,3,NA,5,4,NA,3,3,5,3,5
130,4,NA,NA,6,8,NA,5,5,5,5,4,5,5,5,6,5,5,6,6,8,9,8,6,8
131,3,2,4,5,4,5,NA,5,2,5,5,NA,5,4,5,5,NA,5,6,6,4,6,7,5
132,4,5,5,4,2,4,5,NA,4,6,4,5,NA,6,6,5,5,4,5,5,NA,5,4,5
133,4,4,4,NA,6,4,4,6,8,5,5,5,6,NA,5,10,10,7,10,7,9,NA,7,7
134,4,3,3,NA,6,7,7,9,10,7,9,9,5,5,NA,5,6,NA,7,5,5,3,4,5
135,5,6,8,7,NA,6,8,6,5,NA,7,9,2,3,3,1,2,3,3,5,4,4,NA,3
136,6,8,NA,5,5,5,5,NA,4,4,5,5,8,7,6,4,7,2,5,4,3,7,NA,8
137,NA,3,2,5,4,5,5,6,6,5,6,7,4,5,NA,5,NA,5,4,4,5,8,7,5
138,7,7,6,7,10,9,6,6,5,7,7,7,6,4,5,3,NA,NA,7,7,5,NA,7,5
139,5,5,6,4,3,5,1,3,2,3,2,3,5,5,3,NA,5,NA,NA,2,0,4,5,5
140,5,5,6,NA,6,6,8,5,NA,10,8,9,3,5,4,4,5,3,4,5,NA,3,4,5
141,3,2,3,4,5,4,5,7,NA,5,8,6,NA,5,8,NA,4,5,8,9,8,6,8,8
142,3,3,3,3,NA,2,NA,NA,4,5,6,5,7,7,8,10,8,8,5,6,7,5,5,5
143,5,5,3,NA,5,5,4,6,5,5,5,6,6,5,5,5,NA,5,4,NA,3,5,5,3
144,3,NA,5,4,3,4,5,5,4,3,4,NA,5,6,7,10,10,NA,5,3,5,5,5,4
145,NA,0,3,1,2,2,3,1,NA,NA,1,3,5,5,5,7,6,3,5,6,4,5,6,5
146,6,8,6,7,5,NA,4,4,4,5,5,4,NA,4,4,6,5,5,7,9,9,NA,7,7
147,4,5,4,1,2,5,0,0,0,2,2,1,7,7,NA,5,3,NA,NA,3,2,5,5,4
148,5,5,6,2,4,5,2,NA,3,3,3,4,6,5,5,5,5,4,NA,2,1,4,NA,3
149,NA,2,3,2,1,2,NA,1,1,3,1,2,3,4,5,NA,5,5,5,6,5,5,3,5
150,5,2,4,6,8,8,7,5,7,5,NA,5,5,5,5,7,6,7,4,5,5,NA,NA,4
151,5,8,7,6,7,7,NA,8,6,6,NA,5,3,4,4,NA,2,5,0,2,1,3,1,3
152,5,5,5,5,5,3,2,3,3,NA,5,4,7,8,6,9,8,NA,9,6,8,5,NA,5
153,NA,4,5,4,3,5,6,NA,NA,7,7,7,5,7,7,5,7,7,3,3,3,7,4,7
154,5,5,5,5,5,5,3,3,NA,4,4,3,NA,4,7,5,5,5,NA,6,9,9,7,7
155,4,5,4,6,4,4,7,7,7,6,6,5,5,5,5,6,NA,NA,5,5,NA,3,5,5
156,5,6,7,6,NA,5,5,5,5,6,5,5,4,5,5,NA,NA,5,5,6,5,5,5,5
157,5,4,5,4,6,NA,2,1,1,4,2,NA,5,5,5,4,5,NA,5,5,6,5,5,3
158,NA,10,7,8,7,5,5,5,5,6,7,NA,5,6,6,NA,5,5,5,5,5,5,6,6
159,10,9,10,10,10,NA,5,5,5,6,3,NA,5,NA,5,5,5,7,5,5,5,7,6,9
160,4,2,0,5,6,NA,5,5,5,3,4,5,2,5,5,2,4,2,NA,3,NA,1,1,1
161,6,5,5,NA,4,5,NA,6,5,NA,9,8,10,9,8,6,6,9,7,5,6,2,3,4
162,4,5,3,2,3,2,5,5,NA,6,8,6,NA,5,5,4,5,5,5,3,6,5,NA,5
163,3,2,NA,5,3,4,2,2,3,NA,2,2,7,6,NA,5,3,5,3,2,1,0,2,0
164,7,5,5,NA,NA,5,4,4,4,5,5,5,NA,5,4,4,4,3,5,2,4,3,4,2
165,5,7,6,4,5,6,5,6,6,3,4,3,1,NA,2,1,1,0,8,6,6,NA,NA,9
166,6,6,6,6,7,5,9,6,NA,3,5,5,NA,2,2,5,NA,4,3,4,2,3,2,1
167,5,7,5,6,5,7,5,6,5,NA,8,6,7,6,NA,NA,5,5,5,6,5,7,7,8
168,0,1,0,0,NA,0,1,NA,2,3,5,5,2,4,2,NA,2,1,1,1,2,1,1,4
169,5,5,5,NA,4,5,4,3,NA,2,3,4,4,4,NA,5,4,5,4,5,3,5,4,4
170,6,9,7,7,6,6,5,5,6,NA,6,5,5,5,5,2,1,1,NA,5,3,8,NA,6
171,2,2,NA,1,3,1,7,5,6,5,7,7,8,8,6,5,5,NA,7,5,7,5,NA,6
172,9,9,8,6,8,7,6,8,9,6,NA,8,5,5,NA,6,6,6,9,NA,9,10,9,7
173,6,4,5,NA,7,7,10,NA,8,10,10,10,2,5,3,7,6,NA,3,4,2,4,1,1
174,5,5,4,4,4,4,2,4,5,3,NA,4,NA,3,NA,5,7,5,5,7,6,3,4,5
175,5,5,5,NA,4,2,NA,5,5,NA,4,6,2,1,0,1,4,1,5,5,5,0,2,2
176,NA,7,6,9,6,9,6,8,5,5,5,5,5,6,5,NA,5,3,5,5,6,5,NA,7
177,3,5,3,3,NA,1,NA,6,5,NA,2,5,9,6,5,4,4,5,0,0,0,0,2,2
178,8,7,6,NA,5,5,6,5,7,5,5,5,3,NA,4,5,6,5,3,4,NA,5,4,5
179,NA,0,2,5,4,4,5,4,6,4,5,6,2,NA,0,3,2,1,2,0,0,NA,1,0
180,5,8,7,5,5,5,5,5,5,5,5,4,1,2,NA,NA,5,5,2,0,3,1,NA,2
181,7,5,7,5,4,5,5,NA,4,5,5,5,7,7,7,5,8,NA,6,NA,7,7,5,8
182,10,8,8,5,5,5,6,6,NA,6,10,8,NA,10,9,7,7,9,7,7,7,8,NA,8
183,NA,5,5,4,NA,6,5,5,6,5,6,5,5,4,5,5,4,3,4,5,5,NA,5,5
184,NA,5,NA,5,5,5,5,5,6,5,5,3,2,2,4,0,3,0,NA,5,4,5,6,5
185,0,1,2,NA,2,3,3,5,5,4,1,4,7,9,NA,6,5,NA,6,8,5,6,8,6
186,7,5,NA,5,4,4,3,1,3,2,4,4,5,NA,NA,3,3,1,6,5,7,2,4,4
187,2,0,2,3,4,1,9,NA,8,10,NA,10,0,0,0,1,1,0,NA,3,3,3,2,2
188,5,5,5,3,NA,3,4,2,NA,4,1,4,10,10,10,6,6,5,6,8,NA,5,6,6
189,2,1,2,1,3,3,2,1,3,3,3,3,0,NA,NA,0,0,0,5,NA,3,0,1,4
190,6,5,5,8,7,7,10,NA,9,NA,10,10,4,NA,4,6,5,4,5,6,6,7,5,9
191,7,7,NA,8,7,NA,5,7,8,8,6,5,8,7,5,NA,9,5,10,10,9,7,9,8
192,6,NA,5,NA,5,6,5,5,5,4,6,5,7,6,6,7,NA,6,1,4,4,8,5,7
193,4,2,2,4,5,4,3,1,3,1,NA,NA,NA,0,0,2,2,5,8,4,5,5,4,5
194,2,0,1,NA,1,0,5,NA,8,5,6,5,5,4,5,5,5,4,5,5,NA,8,7,5
195,NA,6,10,4,5,5,5,7,9,8,8,7,5,NA,5,5,NA,6,7,6,7,7,9,8
196,8,6,6,5,5,5,5,6,8,9,8,10,NA,NA,3,NA,4,5,6,6,5,5,4,4
197,5,NA,5,3,3,NA,6,8,6,6,7,8,5,6,7,5,NA,6,6,5,6,5,5,6
198,10,10,10,10,10,10,4,7,7,9,NA,10,2,5,5,5,5,5,7,6,NA,NA,8,6
199,5,5,5,2,2,NA,5,5,7,1,NA,2,5,3,4,2,3,3,4,4,5,NA,6,7
200,10,8,NA,5,5,6,3,4,NA,5,NA,6,3,5,4,7,6,5,1,1,2,0,2,1
201,5,6,NA,5,6,5,0,2,2,1,2,2,8,7,6,7,5,NA,5,3,NA,5,4,2
202,NA,4,4,NA,10,8,6,6,5,5,5,NA,9,7,8,4,5,5,1,2,3,2,3,2
203,1,1,2,1,3,2,5,5,NA,3,3,5,0,NA,0,1,3,3,5,5,3,NA,3,2
204,5,5,6,NA,7,6,5,5,NA,6,5,7,5,6,5,NA,3,5,6,5,5,3,2,4
205,4,3,4,5,7,6,8,8,10,NA,6,8,NA,5,5,4,5,5,2,1,0,5,NA,5
206,4,1,0,5,1,5,2,NA,2,4,4,5,5,NA,5,6,7,7,NA,2,3,4,1,4
207,5,5,5,5,5,5,8,7,NA,7,5,6,NA,2,3,1,1,0,2,3,3,NA,0,1
208,7,8,NA,7,6,NA,7,9,10,7,5,7,NA,8,8,6,5,7,5,5,5,6,8,8
209,4,NA,5,6,5,7,5,4,5,4,4,NA,6,5,5,4,4,4,1,2,2,NA,2,3
210,5,3,4,5,5,4,5,NA,5,NA,3,NA,5,5,5,5,5,5,6,7,6,6,6,6
211,5,3,5,5,4,5,5,8,5,10,9,10,6,7,NA,6,8,NA,NA,5,5,5,5,3
212,7,5,6,7,5,5,5,4,5,5,6,NA,9,8,7,NA,10,9,5,NA,6,9,10,10
213,8,9,6,9,9,8,6,8,7,8,6,8,6,NA,NA,5,7,NA,5,9,7,9,10,8
214,5,3,6,5,4,4,NA,6,NA,5,5,4,7,6,6,NA,6,5,8,7,7,7,7,6
215,NA,6,NA,6,7,5,3,3,5,5,4,5,7,8,7,7,6,NA,5,7,6,6,7,8
216,5,8,5,2,NA,3,3,2,1,0,3,3,NA,3,5,6,6,5,5,5,3,NA,4,5
217,9,10,8,7,6,7,NA,6,5,9,8,8,5,4,7,NA,NA,5,7,6,7,5,6,7
218,5,5,5,NA,5,4,5,5,NA,6,8,6,6,5,5,3,4,5,3,5,NA,5,6,5
219,NA,6,5,7,6,6,7,8,NA,2,4,4,6,6,6,6,6,NA,6,5,5,6,4,5
220,4,4,5,2,3,2,2,NA,4,2,NA,1,6,6,5,3,NA,2,5,5,5,6,6,5
221,4,4,5,2,3,1,5,5,5,5,5,5,8,7,NA,NA,6,7,8,6,7,8,NA,8
222,5,6,7,5,6,5,5,5,4,5,3,5,NA,8,8,NA,NA,5,5,5,9,6,5,5
223,3,5,4,3,4,3,7,7,7,3,6,5,3,3,3,2,NA,4,NA,NA,5,7,8,7
224,2,2,0,1,3,NA,3,NA,2,2,2,NA,5,4,5,4,5,4,5,4,3,2,3,4
225,2,2,2,5,5,5,1,1,1,2,NA,NA,7,5,6,7,5,NA,5,7,5,6,5,5
226,NA,4,5,4,3,4,NA,1,0,2,0,2,4,3,2,2,3,3,NA,5,5,2,4,5
227,3,5,5,5,5,5,4,4,6,5,5,5,8,6,7,NA,10,7,6,NA,5,5,NA,5
228,5,5,5,5,7,7,5,NA,6,NA,4,6,6,7,5,6,5,5,6,8,5,8,NA,6
229,4,6,5,2,1,0,NA,0,NA,0,0,0,5,5,4,5,5,4,4,2,4,NA,6,4
230,5,5,6,6,6,5,4,2,4,5,NA,5,5,4,NA,3,NA,2,6,4,5,5,6,5
231,NA,8,6,6,5,8,5,5,5,5,4,5,7,NA,10,8,NA,8,7,4,4,4,5,5
232,5,5,5,4,NA,2,5,4,2,4,4,3,5,5,3,6,4,NA,2,2,2,NA,2,4
233,4,5,5,1,3,1,NA,4,4,NA,6,6,NA,5,5,3,2,3,3,4,3,3,4,5
234,4,3,3,2,4,3,4,5,3,NA,5,3,7,7,6,7,5,7,6,6,NA,NA,7,5
235,5,7,8,6,6,NA,8,9,NA,5,NA,5,5,5,8,9,7,8,7,6,6,7,7,5
236,5,5,5,5,4,5,5,5,NA,5,7,7,5,4,5,NA,5,NA,2,2,1,1,2,2
237,5,5,5,5,NA,5,5,8,7,8,7,8,4,5,5,NA,5,NA,7,7,7,5,5,5
238,8,4,7,5,5,5,5,3,5,NA,5,NA,5,5,6,4,5,5,4,3,1,NA,2,2
239,NA,5,5,5,NA,6,2,5,4,4,5,5,5,6,5,2,3,4,NA,6,6,5,5,6
240,4,4,4,3,3,NA,5,5,5,5,5,4,5,5,5,NA,5,3,5,NA,5,1,2,3
241,5,5,5,4,3,2,1,NA,2,2,2,4,5,NA,4,4,5,5,5,6,6,NA,5,4
242,5,5,5,5,6,NA,4,5,NA,2,3,1,8,5,6,4,5,NA,6,5,6,8,6,7
243,6,5,5,9,5,NA,5,NA,5,9,8,8,6,5,NA,3,4,5,5,6,5,9,6,6
244,NA,5,NA,5,NA,5,3,3,3,3,3,5,7,8,5,6,10,5,5,6,5,5,6,7
245,NA,6,6,NA,NA,7,8,7,8,8,8,6,3,3,3,3,0,2,5,5,5,4,4,5
246,7,6,6,5,5,4,7,6,5,5,5,5,3,NA,2,3,4,4,NA,7,6,5,NA,4
247,7,5,5,7,10,NA,5,5,5,6,4,3,NA,3,NA,5,4,2,4,5,3,6,5,3
248,6,NA,5,5,5,4,2,3,3,4,NA,3,5,NA,6,6,4,5,7,7,5,4,5,5
249,3,5,5,8,NA,7,NA,2,NA,3,3,4,5,5,5,5,5,7,5,3,3,4,1,4
250,NA,3,2,2,0,1,6,7,6,NA,5,5,6,5,7,5,5,5,NA,5,6,4,5,4
